strategy,model,dataset,n_examples,accuracy,mean_estimated_flops,avg_output_tokens
best_of_n,llama3.2-1b,gsm8k,20,0.35,7434041523200.0,2866.8
greedy,llama3.2-1b,gsm8k,20,0.4,925748567040.0,233.6
router,llama3.2-1b,gsm8k,30,0.4,1475644781226.6667,280.1
router_threshold,llama3.2-1b,gsm8k,30,0.3,,1294.3
self_consistency,llama3.2-1b,gsm8k,20,0.4,7401416023040.0,2853.6
tree_search,llama3.2-1b,gsm8k,30,0.2,,1104.3
tree_search_verifierv,llama3.2-1b,gsm8k,20,0.35,14024021811200.0,1180.0
best_of_n,llama3.2-3b,gsm8k,20,0.75,,2122.8
greedy,llama3.2-3b,gsm8k,20,0.55,,178.5
router,llama3.2-3b,gsm8k,30,0.6333,6602200888320.0,344.6
router_threshold,llama3.2-3b,gsm8k,30,0.6667,,813.9
self_consistency,llama3.2-3b,gsm8k,20,0.7,,2188.0
tree_search,llama3.2-3b,gsm8k,30,0.6667,,837.1
best_of_n,llama3.2-1b,math,20,0.15,,3737.2
greedy,llama3.2-1b,math,20,0.1,,400.0
router,llama3.2-1b,math,30,0.1333,3249862321493.3335,533.9
router_threshold,llama3.2-1b,math,30,0.1333,,1550.3
self_consistency,llama3.2-1b,math,20,0.15,,3684.0
tree_search,llama3.2-1b,math,30,0.1333,,1529.2
best_of_n,llama3.2-3b,math,20,0.35,,2841.6
greedy,llama3.2-3b,math,20,0.35,,252.7
router,llama3.2-3b,math,30,0.3333,3940758934118.4,448.6
router_threshold,llama3.2-3b,math,30,0.2,,1255.1
self_consistency,llama3.2-3b,math,20,0.35,,2921.6
tree_search,llama3.2-3b,math,30,0.2333,,1214.1
